Date,Price,Open,High,Low,Vol.,Change %
10/12/2023,94.42,94.48,94.54,94.31,7.32M,-0.05%
10/11/2023,94.47,94.3,94.57,94.11,11.49M,0.14%
10/10/2023,94.34,94.38,94.49,94.18,5.14M,0.00%
10/9/2023,94.34,94.17,94.44,94.17,4.69M,0.11%
10/6/2023,94.24,94,94.26,93.94,8.13M,0.61%
10/5/2023,93.67,93.85,93.93,93.65,4.27M,-0.09%
10/4/2023,93.75,93.87,94.04,93.63,6.95M,-0.15%
10/3/2023,93.89,93.81,93.99,93.76,4.89M,-0.05%
10/2/2023,93.94,93.68,93.94,93.6,6.63M,0.33%
9/29/2023,93.63,93.6,93.89,93.45,8.62M,0.10%
9/28/2023,93.54,93.9,93.98,93.38,10.83M,-0.40%
9/27/2023,93.92,94,94.1,93.71,9.30M,-0.09%
9/26/2023,94,94,94.21,94,6.69M,-0.05%
9/25/2023,94.05,93.92,94.08,93.92,6.85M,0.14%
9/22/2023,93.92,94.06,94.11,93.86,19.82M,1.70%
9/21/2023,92.35,92.41,92.57,92.29,6.01M,-0.23%
9/20/2023,92.56,92.41,92.61,92.3,7.56M,0.53%
9/19/2023,92.07,91.92,92.21,91.9,3.74M,0.17%
9/18/2023,91.91,92.04,92.05,91.82,4.56M,0.10%
9/15/2023,91.82,92.16,92.33,91.73,13.51M,-0.43%
9/14/2023,92.22,92.32,92.46,92.15,6.84M,-0.05%
9/13/2023,92.27,92.22,92.47,92.15,4.44M,0.15%
9/12/2023,92.13,92.06,92.33,92.03,3.06M,-0.05%
9/11/2023,92.18,92.12,92.44,92.11,3.48M,0.07%
9/8/2023,92.12,92.1,92.24,92.01,5.37M,0.12%
9/7/2023,92.01,92.15,92.15,91.99,3.70M,-0.07%
9/6/2023,92.07,92.04,92.11,91.99,4.38M,0.04%
9/5/2023,92.03,91.95,92.18,91.9,5.15M,-0.01%
9/1/2023,92.04,92.05,92.2,91.95,4.61M,0.05%
8/31/2023,91.99,91.88,92.06,91.86,6.67M,0.01%
8/30/2023,91.98,91.88,92.04,91.75,4.86M,0.00%
8/29/2023,91.98,91.75,92.1,91.75,5.13M,0.23%
8/28/2023,91.77,91.81,92.01,91.75,5.01M,0.12%
8/25/2023,91.66,91.41,91.83,91.38,4.36M,0.27%
8/24/2023,91.41,91.63,91.96,91.4,6.05M,-0.36%
8/23/2023,91.74,91.55,91.83,91.41,5.49M,0.09%
8/22/2023,91.66,91.97,92.1,91.47,11.05M,1.04%
8/21/2023,90.72,90.77,90.97,90.65,4.48M,0.28%
8/18/2023,90.47,90.5,91,90.29,13.09M,0.04%
8/17/2023,90.43,91,91.02,90.4,8.50M,-0.46%
8/16/2023,90.85,91,91.25,90.85,4.16M,-0.07%
8/15/2023,90.91,91,91.1,90.77,5.46M,0.13%
8/14/2023,90.79,91.1,91.2,90.75,6.12M,-0.46%
8/11/2023,91.21,91.3,91.31,90.93,6.91M,-0.23%
8/10/2023,91.42,91.67,91.67,91.27,4.84M,-0.02%
8/9/2023,91.44,91.59,92,91.42,7.53M,-0.16%
8/8/2023,91.59,91.57,91.79,91.52,5.58M,0.02%
8/7/2023,91.57,91.79,91.85,91.52,4.98M,-0.01%
8/4/2023,91.58,91.68,91.82,91.54,6.04M,-0.11%
8/3/2023,91.68,91.55,92,91.5,7.49M,0.05%
8/2/2023,91.63,91.64,91.9,91.52,7.36M,-0.28%
8/1/2023,91.89,91.79,92.13,91.7,8.03M,-0.94%
7/31/2023,92.76,92.56,92.78,92.43,10.71M,0.25%
7/28/2023,92.53,92.35,92.69,92.34,5.64M,0.42%
7/27/2023,92.14,92.67,92.79,92.14,9.45M,-0.57%
7/26/2023,92.67,92.66,92.92,92.47,8.39M,-0.06%
7/25/2023,92.73,92.5,92.86,92.46,6.54M,0.19%
7/24/2023,92.55,91.93,92.6,91.85,7.87M,0.70%
7/21/2023,91.91,92.35,92.4,91.89,12.93M,-0.41%
7/20/2023,92.29,92.1,92.56,92.09,14.76M,0.10%
7/19/2023,92.2,92.63,92.75,91.78,40.00M,-0.58%
7/18/2023,92.74,92.53,93.01,92.21,21.67M,-0.50%
7/17/2023,93.21,93.54,93.67,92.12,39.50M,3.49%
7/14/2023,90.07,91.1,91.5,89.74,63.83M,0.59%
7/13/2023,89.54,90,90.7,89.44,22.04M,-0.51%
7/12/2023,90,90.04,90.71,89.05,27.91M,-1.09%
7/11/2023,90.99,82.56,92.91,82.55,77.48M,10.02%
7/10/2023,82.7,82.76,83.23,82.62,7.13M,0.33%
7/7/2023,82.43,82.78,83.31,82.22,4.82M,-0.33%
7/6/2023,82.7,82.4,82.92,81.99,3.97M,-0.21%
7/5/2023,82.87,82.97,83.42,82.09,5.15M,-0.56%
7/3/2023,83.34,83.99,84.2,83.18,4.15M,-1.14%
6/30/2023,84.3,83.5,84.72,83.5,6.88M,1.47%
6/29/2023,83.08,83.09,85,82.39,8.47M,-0.62%
6/28/2023,83.6,84.5,84.63,83.48,6.87M,-0.63%
6/27/2023,84.13,83.25,84.62,83.22,6.55M,0.88%
6/26/2023,83.4,82.25,83.71,82.12,7.87M,1.83%
6/23/2023,81.9,82.04,82.4,81.62,6.74M,-0.49%
6/22/2023,82.3,80.48,82.32,80.3,4.87M,1.68%
6/21/2023,80.94,81.65,81.84,80.83,5.28M,-1.16%
6/20/2023,81.89,81.69,81.99,81.55,5.24M,-0.10%
6/16/2023,81.97,81.35,82.22,80.94,12.24M,0.64%
6/15/2023,81.45,81.42,81.58,80.58,7.02M,0.27%
6/14/2023,81.23,81.27,81.77,80.95,7.95M,0.66%
6/13/2023,80.7,80.2,81.45,79.87,8.28M,1.17%
6/12/2023,79.77,80.38,80.4,79.7,7.90M,-0.76%
6/9/2023,80.38,79.98,80.69,79.96,5.82M,0.45%
6/8/2023,80.02,80.51,80.76,79.88,4.44M,-0.60%
6/7/2023,80.5,80.88,80.95,79.53,5.52M,-0.47%
6/6/2023,80.88,81,81.05,80.46,4.72M,0.05%
6/5/2023,80.84,80.85,81.15,80.6,4.03M,0.42%
6/2/2023,80.5,80.24,80.63,79.83,5.90M,0.37%
6/1/2023,80.2,80.25,81.22,80,8.67M,0.00%
5/31/2023,80.2,80.1,80.81,79.68,9.22M,0.22%
5/30/2023,80.02,79,80.27,78.89,7.99M,1.73%
5/26/2023,78.66,77.35,78.79,77.02,5.24M,1.97%
5/25/2023,77.14,77.58,77.59,76.76,6.82M,-0.86%
5/24/2023,77.81,79.05,79.39,77.77,5.33M,-1.67%
