year,month,hero,role,ability,change,is_nerf,is_buff,skins,days_since_release
2022,November,dva,tank,Call Mech,Cost reduced by 12%,0,1,,
2022,November,dva,tank,Fusion Cannons,Spread increased to 3.75,1,0,,
2022,November,dva,tank,Boosters,damage reduced to 15,1,0,,
2022,November,zarya,tank,Particle Barrier,duration reduced to 2 second,1,0,,
2022,November,zarya,tank,Particle Barrier,cooldown increased to 11 second,1,0,,
2022,November,zarya,tank,Projected Barrier,duration reduced to 2 second,1,0,,
2022,November,zarya,tank,Projected Barrier,Cooldown increased to 11 second,1,0,,
2022,November,genji,damage,Shuriken,ammo reduced to 24,1,0,,
2022,November,genji,damage,Shuriken,damage reduced to 27,1,0,,
2022,November,junkrat,damage,Steel Trap,arming time increased to 0.75 second,1,0,,
2022,November,junkrat,damage,Steel Trap,duration trapped reduced to 2.5 second,1,0,,
2022,November,sombra,damage,Hack,duration reduced to 1.5 second,1,0,,
2022,November,sombra,damage,Hack,Hacked enemies no longer valid targets for hacking for duration of effect,1,0,,
2022,November,sombra,damage,Hack,damage multiplier reduced to 25%,1,0,,
2022,November,kiriko,tank,Swift Step,invulnerability duration reduced to 0.25 second,1,0,,
2022,December,doomfist,tank,Rocket Punch,cooldown increased to 4 second,1,0,,
2022,December,doomfist,tank,Power Block,minimum damage mitigated to empower rocket punch increased to 100 damage,1,0,,
2022,December,doomfist,tank,The Best Defense...',temporary health gained per target hit decreased to 35 health,1,0,,
2022,December,orisa,tank,Terra Surge,pierces through barriers,0,1,,
2022,December,orisa,tank,Fusion Driver,damage falloff range increased to 25m,0,1,,
2022,December,ramattra,tank,Nemesis Form,movement speed increased by 20%,0,1,,
2022,December,ramattra,tank,Nemesis Form,armor bonus increased to 225,0,1,,
2022,December,ramattra,tank,Void Barrier,cooldown reduced to 13 second,0,1,,
2022,December,sojourn,damage,Railgun,primary fire spread increased by 28%,1,0,,
2022,December,sojourn,damage,Disruptor Shot,no longer slows enemies,1,0,,
2022,December,sojourn,damage,Power Slide,cooldown increased to 7 second,1,0,,
2022,December,tracer,damage,Pulse Pistols,damage reduced to 5.5,1,0,,
2022,December,ana,support,Biotic Rifle,damage/healing increased to 75,0,1,,
2022,December,ana,support,Biotic Grenade,duration increased to 4 second,0,1,,
2022,December,kiriko,support,Protection Suzu,invulnerability duration reduced to 0.85 second,1,0,,
2023,January,orisa,tank,Fortify,health bonus reduced to 75,1,0,,
2023,January,roadhog,tank,Scrap Gun,recovery time reduced to 0.8 second,0,1,,
2023,January,roadhog,tank,Scrap Gun,reload time reduced to 1.75 second,0,1,,
2023,January,roadhog,tank,Scrap Gun,maximum ammo increased to 6,0,1,,
2023,January,roadhog,tank,Scrap Gun,damage/pellet reduced to 6,1,0,,
2023,January,roadhog,tank,Chain Hook,enemy final distance increased to 4,1,0,,
