"","id","year","month","month_num","hero","role","ability","change","is_nerf","is_buff","skins","days_since_release","skin_ratio","number_of_changes","patch_ratio","nerf_ratio","buff_ratio"
"1",1,2022,"November",11,"dva","tank","call mech","cost reduced by 12%",0,1,37,749,0.0296712109061748,21,0.03,0.238095238095238,0.761904761904762
"2",2,2022,"November",11,"dva","tank","fusion cannons","spread increased to 3.75",1,0,37,749,0.0296712109061748,21,0.03,0.238095238095238,0.761904761904762
"3",3,2022,"November",11,"dva","tank","boosters","damage reduced to 15",1,0,37,749,0.0296712109061748,21,0.03,0.238095238095238,0.761904761904762
"4",4,2022,"November",11,"zarya","tank","particle barrier","duration reduced to 2 secondsond",1,0,35,749,0.0280673616680032,23,0.0328571428571429,0.391304347826087,0.608695652173913
"5",5,2022,"November",11,"zarya","tank","particle barrier","cooldown increased to 11 secondsond",1,0,35,749,0.0280673616680032,23,0.0328571428571429,0.391304347826087,0.608695652173913
"6",6,2022,"November",11,"zarya","tank","projected barrier","duration reduced to 2 secondsond",1,0,35,749,0.0280673616680032,23,0.0328571428571429,0.391304347826087,0.608695652173913
"7",7,2022,"November",11,"zarya","tank","projected barrier","cooldown increased to 11 secondsond",1,0,35,749,0.0280673616680032,23,0.0328571428571429,0.391304347826087,0.608695652173913
"8",8,2022,"November",11,"genji","damage","shuriken","ammo reduced to 24",1,0,44,749,0.0352846832397755,5,0.00714285714285714,0.4,0.6
"9",9,2022,"November",11,"genji","damage","shuriken","damage reduced to 27",1,0,44,749,0.0352846832397755,5,0.00714285714285714,0.4,0.6
"10",10,2022,"November",11,"junkrat","damage","steel trap","arming time increased to 0.75 secondsond",1,0,32,749,0.0256615878107458,12,0.0171428571428571,0.333333333333333,0.666666666666667
"11",11,2022,"November",11,"junkrat","damage","steel trap","duration trapped reduced to 2.5 secondsond",1,0,32,749,0.0256615878107458,12,0.0171428571428571,0.333333333333333,0.666666666666667
"12",12,2022,"November",11,"sombra","damage","hack","duration reduced to 1.5 secondsond",1,0,36,749,0.028869286287089,30,0.0428571428571429,0.466666666666667,0.533333333333333
"13",13,2022,"November",11,"sombra","damage","hack","hacked enemies no longer valid targets for hacking for duration of effect",1,0,36,749,0.028869286287089,30,0.0428571428571429,0.466666666666667,0.533333333333333
"14",14,2022,"November",11,"sombra","damage","hack","damage multiplier reduced to 25%",1,0,36,749,0.028869286287089,30,0.0428571428571429,0.466666666666667,0.533333333333333
"15",15,2022,"November",11,"kiriko","tank","swift step","invulnerability duration reduced to 0.25 secondsond",1,0,25,749,0.0200481154771451,21,0.03,0.476190476190476,0.523809523809524
"16",16,2022,"December",12,"doomfist","tank","rocket punch","cooldown increased to 4 secondsond",1,0,31,749,0.02485966319166,17,0.0242857142857143,0.411764705882353,0.588235294117647
"17",17,2022,"December",12,"doomfist","tank","power block","minimum damage mitigated to empower rocket punch increased to 100 damage",1,0,31,749,0.02485966319166,17,0.0242857142857143,0.411764705882353,0.588235294117647
"18",18,2022,"December",12,"doomfist","tank","the best defense...'","temporary health gained per target hit decreased to 35 health",1,0,31,749,0.02485966319166,17,0.0242857142857143,0.411764705882353,0.588235294117647
"19",19,2022,"December",12,"orisa","tank","terra surge","pierces through barriers",0,1,29,749,0.0232558139534884,19,0.0271428571428571,0.263157894736842,0.736842105263158
"20",20,2022,"December",12,"orisa","tank","fusion driver","damage falloff range increased to 25m",0,1,29,749,0.0232558139534884,19,0.0271428571428571,0.263157894736842,0.736842105263158
"21",21,2022,"December",12,"ramattra","tank","nemesis form","movement speed increased by 20%",0,1,18,686,0.0144346431435445,28,0.04,0.285714285714286,0.714285714285714
"22",22,2022,"December",12,"ramattra","tank","nemesis form","armor bonus increased to 225",0,1,18,686,0.0144346431435445,28,0.04,0.285714285714286,0.714285714285714
"23",23,2022,"December",12,"ramattra","tank","void barrier","cooldown reduced to 13 secondsond",0,1,18,686,0.0144346431435445,28,0.04,0.285714285714286,0.714285714285714
"24",24,2022,"December",12,"sojourn","damage","railgun","primary fire spread increased by 28%",1,0,21,749,0.0168404170008019,24,0.0342857142857143,0.333333333333333,0.666666666666667
"25",25,2022,"December",12,"sojourn","damage","disruptor shot","no longer slows enemies",1,0,21,749,0.0168404170008019,24,0.0342857142857143,0.333333333333333,0.666666666666667
"26",26,2022,"December",12,"sojourn","damage","power slide","cooldown increased to 7 secondsond",1,0,21,749,0.0168404170008019,24,0.0342857142857143,0.333333333333333,0.666666666666667
"27",27,2022,"December",12,"tracer","damage","pulse pistols","damage reduced to 5.5",1,0,40,749,0.0320769847634322,7,0.01,0.571428571428571,0.428571428571429
"28",28,2022,"December",12,"ana","support","biotic rifle","damage/healing increased to 75",0,1,38,749,0.0304731355252606,10,0.0142857142857143,0.4,0.6
"29",29,2022,"December",12,"ana","support","biotic grenade","duration increased to 4 secondsond",0,1,38,749,0.0304731355252606,10,0.0142857142857143,0.4,0.6
"30",30,2022,"December",12,"kiriko","support","protection suzu","invulnerability duration reduced to 0.85 secondsond",1,0,25,749,0.0200481154771451,21,0.03,0.476190476190476,0.523809523809524
"31",31,2023,"January",1,"orisa","tank","fortify","health bonus reduced to 75",1,0,29,749,0.0232558139534884,19,0.0271428571428571,0.263157894736842,0.736842105263158
"32",32,2023,"January",1,"roadhog","tank","scrap gun","recovery time reduced to 0.8 secondsond",0,1,35,749,0.0280673616680032,38,0.0542857142857143,0.447368421052632,0.552631578947368
"33",33,2023,"January",1,"roadhog","tank","scrap gun","reload time reduced to 1.75 secondsond",0,1,35,749,0.0280673616680032,38,0.0542857142857143,0.447368421052632,0.552631578947368
"34",34,2023,"January",1,"roadhog","tank","scrap gun","maximum ammo increased to 6",0,1,35,749,0.0280673616680032,38,0.0542857142857143,0.447368421052632,0.552631578947368
"35",35,2023,"January",1,"roadhog","tank","scrap gun","damage/pellet reduced to 6",1,0,35,749,0.0280673616680032,38,0.0542857142857143,0.447368421052632,0.552631578947368
"36",36,2023,"January",1,"roadhog","tank","chain hook","enemy final distance increased to 4",1,0,35,749,0.0280673616680032,38,0.0542857142857143,0.447368421052632,0.552631578947368
"37",37,2023,"January",1,"roadhog","tank","chain hook","impact damage reduced to 5",1,0,35,749,0.0280673616680032,38,0.0542857142857143,0.447368421052632,0.552631578947368
"38",38,2023,"January",1,"sojourn","support","railgun","energy gain based on hit against enemy player",0,1,21,749,0.0168404170008019,24,0.0342857142857143,0.333333333333333,0.666666666666667
"39",39,2023,"January",1,"sojourn","support","railgun","primary fire damage/projectile reduced to 9",1,0,21,749,0.0168404170008019,24,0.0342857142857143,0.333333333333333,0.666666666666667
"40",40,2023,"January",1,"kiriko","support","healing ofuda","recovery time increased to 1 secondsond",1,0,25,749,0.0200481154771451,21,0.03,0.476190476190476,0.523809523809524
"41",41,2023,"March",3,"orisa","tank","terra surge","terra surge can be interrupted by sombra’s hack",1,0,29,749,0.0232558139534884,19,0.0271428571428571,0.263157894736842,0.736842105263158
"42",42,2023,"March",3,"ramattra","tank","annihilation","using annihilation while in nemesis form refreshes bonus armor",0,1,18,686,0.0144346431435445,28,0.04,0.285714285714286,0.714285714285714
"43",43,2023,"March",3,"roadhog","tank","chain hook","cooldown reduced to 6 secondsond",0,1,35,749,0.0280673616680032,38,0.0542857142857143,0.447368421052632,0.552631578947368
"44",44,2023,"March",3,"roadhog","tank","chain hook","cooldown starts when ability ends instead of when ability start",1,0,35,749,0.0280673616680032,38,0.0542857142857143,0.447368421052632,0.552631578947368
"45",45,2023,"March",3,"wrecking ball","tank","minefield","arming time increased to 1.25 secondsond",1,0,29,749,0.0232558139534884,18,0.0257142857142857,0.166666666666667,0.833333333333333
"46",46,2023,"March",3,"zarya","tank","particle barrier","shared cooldown for particle barrier and projected barrier reduced to 10 secondsond",1,0,35,749,0.0280673616680032,23,0.0328571428571429,0.391304347826087,0.608695652173913
"47",47,2023,"March",3,"ashe","damage","b.o.b.","b.o.b. now prefers to shoot at enemy targets that ashe damages with her rifle",0,1,31,749,0.02485966319166,7,0.01,0.285714285714286,0.714285714285714
"48",48,2023,"March",3,"hanzo","damage","lunge","cooldown decreased to 4 secondsond",0,1,36,749,0.028869286287089,14,0.02,0.285714285714286,0.714285714285714
"49",49,2023,"March",3,"mei","damage","blizzard","ultimate cast time reduced to 0.4 secondsond",0,1,35,749,0.0280673616680032,12,0.0171428571428571,0.416666666666667,0.583333333333333
"50",50,2023,"March",3,"pharah","damage","jump jet","movement now influenced by directional inputs",0,1,35,749,0.0280673616680032,22,0.0314285714285714,0.318181818181818,0.681818181818182
"51",51,2023,"March",3,"sojourn","damage","hit_points","torso hit volume width increased by 20%",1,0,21,749,0.0168404170008019,24,0.0342857142857143,0.333333333333333,0.666666666666667
"52",52,2023,"March",3,"baptiste","support","immortality field","minimum health threshold increased to 25%",0,1,27,749,0.0216519647153168,10,0.0142857142857143,0.3,0.7
"53",53,2023,"April",4,"lifeweaver","support","healing blossom","ammo count increased to 20 ",0,1,17,558,0.0136327185244587,29,0.0414285714285714,0.275862068965517,0.724137931034483
"54",54,2023,"April",4,"lifeweaver","support","healing blossom","slow now steadily applies after 1 secondsondof max charge being held",0,1,17,558,0.0136327185244587,29,0.0414285714285714,0.275862068965517,0.724137931034483
"55",55,2023,"April",4,"lifeweaver","support","thorn volley","projectile size reduced from .125 to .1",0,1,17,558,0.0136327185244587,29,0.0414285714285714,0.275862068965517,0.724137931034483
"56",56,2023,"April",4,"lifeweaver","support","thorn volley","spread pattern adjusted, with random spread reduced. 1 of the 2 projectiles per shot now fires closer to the crosshair",0,1,17,558,0.0136327185244587,29,0.0414285714285714,0.275862068965517,0.724137931034483
"57",57,2023,"April",4,"lifeweaver","support","tree of life","health increased from 1000 to 1200",0,1,17,558,0.0136327185244587,29,0.0414285714285714,0.275862068965517,0.724137931034483
"58",58,2023,"April",4,"lifeweaver","support","tree of life","healing pulse increased from 50 to 75",0,1,17,558,0.0136327185244587,29,0.0414285714285714,0.275862068965517,0.724137931034483
"59",59,2023,"April",4,"lifeweaver","support","parting gift (passive)","removed from game",1,0,17,558,0.0136327185244587,29,0.0414285714285714,0.275862068965517,0.724137931034483
"60",60,2023,"May",5,"junker queen","tank","scattergun","maximum ammo increased from 6 to 8",0,1,18,749,0.0144346431435445,18,0.0257142857142857,0.111111111111111,0.888888888888889
"61",61,2023,"May",5,"junker queen","tank","jagged blade","projectile size increased from 0.15 to 0.20 meters",0,1,18,749,0.0144346431435445,18,0.0257142857142857,0.111111111111111,0.888888888888889
"62",62,2023,"May",5,"junker queen","tank","rampage","now deals 40 impact damage",0,1,18,749,0.0144346431435445,18,0.0257142857142857,0.111111111111111,0.888888888888889
"63",63,2023,"May",5,"junker queen","tank","rampage","wound damage decreased from 100 to 60",1,0,18,749,0.0144346431435445,18,0.0257142857142857,0.111111111111111,0.888888888888889
"64",64,2023,"May",5,"junker queen","tank","adrehit_pointsline rush","adrenaline passive healing multiplier increased from 1.25 to 2x damage dealt by wounds",0,1,18,749,0.0144346431435445,18,0.0257142857142857,0.111111111111111,0.888888888888889
"65",65,2023,"May",5,"orisa","tank","augmented fusion driver","damage increased from 12 to 13",0,1,29,749,0.0232558139534884,19,0.0271428571428571,0.263157894736842,0.736842105263158
"66",66,2023,"May",5,"winston","tank","jet pack","damage radius before falloff begins increased from 1 to 1.3 meters",0,1,29,749,0.0232558139534884,12,0.0171428571428571,0.0833333333333333,0.916666666666667
"67",67,2023,"May",5,"wrecking ball","tank","adaptive shield","effect duration decreased from 9 to 7 secondsond",1,0,29,749,0.0232558139534884,18,0.0257142857142857,0.166666666666667,0.833333333333333
"68",68,2023,"May",5,"echo","damage","duplicate","ultimate cost reduced 25%",0,1,26,749,0.020850040096231,13,0.0185714285714286,0.230769230769231,0.769230769230769
"69",69,2023,"May",5,"echo","damage","duplicate","ultimate generation decreased from 5.5x to 4x while duplicate is active",1,0,26,749,0.020850040096231,13,0.0185714285714286,0.230769230769231,0.769230769230769
"70",70,2023,"May",5,"junkrat","damage","concussion mine","maximum damage increased from 100 to 110",0,1,32,749,0.0256615878107458,12,0.0171428571428571,0.333333333333333,0.666666666666667
"71",71,2023,"May",5,"ana","support","biotic grenade","explosion healing decreased from 100 to 60",1,0,38,749,0.0304731355252606,10,0.0142857142857143,0.4,0.6
"72",72,2023,"May",5,"baptiste","support","immortality field","cooldown decreased from 25 to 23 secondsond",0,1,27,749,0.0216519647153168,10,0.0142857142857143,0.3,0.7
"73",73,2023,"May",5,"kiriko","support","kuhit_pointsi","kunai reloads after 65% percent of the animation has completed (formerly 75%)",0,1,25,749,0.0200481154771451,21,0.03,0.476190476190476,0.523809523809524
