"","hero","buffs","nerfs","total_buff_ratio","total_nerf_ratio"
"1","ana",6,4,0.0130434782608696,0.015748031496063
"2","ashe",5,2,0.0108695652173913,0.0078740157480315
"3","baptiste",7,3,0.0152173913043478,0.0118110236220472
"4","bastion",7,4,0.0152173913043478,0.015748031496063
"5","brigitte",10,2,0.0217391304347826,0.0078740157480315
"6","cassidy",8,10,0.0173913043478261,0.0393700787401575
"7","doomfist",10,7,0.0217391304347826,0.0275590551181102
"8","dva",16,5,0.0347826086956522,0.0196850393700787
"9","echo",10,3,0.0217391304347826,0.0118110236220472
"10","genji",3,2,0.00652173913043478,0.0078740157480315
"11","hanzo",10,4,0.0217391304347826,0.015748031496063
"12","illari",20,18,0.0434782608695652,0.0708661417322835
"13","junker queen",16,2,0.0347826086956522,0.0078740157480315
"14","junkrat",8,4,0.0173913043478261,0.015748031496063
"15","juno",7,8,0.0152173913043478,0.031496062992126
"16","kiriko",11,10,0.0239130434782609,0.0393700787401575
"17","lifeweaver",21,8,0.0456521739130435,0.031496062992126
"18","lucio",9,5,0.0195652173913043,0.0196850393700787
"19","mauga",24,19,0.0521739130434783,0.0748031496062992
"20","mei",7,5,0.0152173913043478,0.0196850393700787
"21","mercy",11,8,0.0239130434782609,0.031496062992126
"22","moira",6,2,0.0130434782608696,0.0078740157480315
"23","orisa",15,8,0.0326086956521739,0.031496062992126
"24","pharah",15,7,0.0326086956521739,0.0275590551181102
"25","ramattra",21,9,0.0456521739130435,0.0354330708661417
"26","reaper",6,3,0.0130434782608696,0.0118110236220472
"27","reinhardt",13,3,0.0282608695652174,0.0118110236220472
"28","roadhog",21,17,0.0456521739130435,0.0669291338582677
"29","sigma",7,5,0.0152173913043478,0.0196850393700787
"30","sojourn",16,8,0.0347826086956522,0.031496062992126
"31","soldier: 76",5,3,0.0108695652173913,0.0118110236220472
"32","sombra",20,15,0.0434782608695652,0.0590551181102362
"33","symmetra",15,5,0.0326086956521739,0.0196850393700787
"34","torbjorn",6,4,0.0130434782608696,0.015748031496063
"35","tracer",3,4,0.00652173913043478,0.015748031496063
"36","venture",5,8,0.0108695652173913,0.031496062992126
"37","widowmaker",5,2,0.0108695652173913,0.0078740157480315
"38","winston",11,1,0.0239130434782609,0.00393700787401575
"39","wrecking ball",17,3,0.0369565217391304,0.0118110236220472
"40","zarya",14,9,0.0304347826086957,0.0354330708661417
"41","zenyatta",13,5,0.0282608695652174,0.0196850393700787
