"","id","Date","year","month","day","ticker","company","Price","Open","High","Low","Vol.","Change.."
"1",1,"2020-01-29",2020,1,29,"atvi","activision",60.4,60.49,60.57,59.9,4.34,0.62
"2",2,"2020-01-30",2020,1,30,"atvi","activision",60.89,59.92,60.9,59.92,5.29,0.81
"3",3,"2020-01-31",2020,1,31,"atvi","activision",58.48,60.2,60.3,58.35,8.18,-3.96
"4",4,"2020-02-03",2020,2,3,"atvi","activision",58.21,58.64,58.9,58.09,4.83,-0.46
"5",5,"2020-02-04",2020,2,4,"atvi","activision",59.21,58.86,59.38,57.37,6.65,1.72
"6",6,"2020-02-05",2020,2,5,"atvi","activision",58.85,60.14,60.14,58.44,5.99,-0.61
"7",7,"2020-02-06",2020,2,6,"atvi","activision",60.26,59.19,60.64,59,9.59,2.4
"8",8,"2020-02-07",2020,2,7,"atvi","activision",61.53,61.33,62.84,60.38,12.94,2.11
"9",9,"2020-02-10",2020,2,10,"atvi","activision",61.63,61.42,61.95,60.77,5.28,0.16
"10",10,"2020-02-11",2020,2,11,"atvi","activision",61.19,61.93,61.93,60.58,5.35,-0.71
"11",11,"2020-02-12",2020,2,12,"atvi","activision",62.8,61.5,63.12,61.44,5.24,2.63
"12",12,"2020-02-13",2020,2,13,"atvi","activision",62.59,62.25,62.94,62,3.64,-0.33
"13",13,"2020-02-14",2020,2,14,"atvi","activision",63.52,62.69,63.54,62.31,4.24,1.49
"14",14,"2020-02-18",2020,2,18,"atvi","activision",63.74,63.36,64.12,63.26,5.32,0.35
"15",15,"2020-02-19",2020,2,19,"atvi","activision",64.37,64,64.43,63.79,4.87,0.99
"16",16,"2020-02-20",2020,2,20,"atvi","activision",64,64.02,64.53,62.93,4.22,-0.57
"17",17,"2020-02-21",2020,2,21,"atvi","activision",63.38,63.82,63.93,63.07,3.48,-0.97
"18",18,"2020-02-24",2020,2,24,"atvi","activision",62.31,61.21,63.2,61.01,6.1,-1.69
"19",19,"2020-02-25",2020,2,25,"atvi","activision",59.51,61.8,62.02,59.31,10.45,-4.49
"20",20,"2020-02-26",2020,2,26,"atvi","activision",59.37,59.74,60.5,58.96,8.28,-0.24
"21",21,"2020-02-27",2020,2,27,"atvi","activision",58.33,57.8,60.29,57.52,9.01,-1.75
"22",22,"2020-02-28",2020,2,28,"atvi","activision",58.13,56.29,58.18,55.92,10.46,-0.34
"23",23,"2020-03-02",2020,3,2,"atvi","activision",60.59,58.3,60.65,57.91,9.48,4.23
"24",24,"2020-03-03",2020,3,3,"atvi","activision",58.75,60.56,61.82,58.14,9.83,-3.04
"25",25,"2020-03-04",2020,3,4,"atvi","activision",62.55,60,62.59,59.59,7.31,6.47
"26",26,"2020-03-05",2020,3,5,"atvi","activision",61.52,60.78,62.3,60.34,6.98,-1.65
"27",27,"2020-03-06",2020,3,6,"atvi","activision",59.97,59.65,60.88,58.35,9.75,-2.52
"28",28,"2020-03-09",2020,3,9,"atvi","activision",57.35,56.6,59.12,55.4,13.17,-4.37
"29",29,"2020-03-10",2020,3,10,"atvi","activision",60.71,59.45,61.12,57.93,15.38,5.86
"30",30,"2020-03-11",2020,3,11,"atvi","activision",59.33,58.75,60.46,58.4,10.53,-2.27
"31",31,"2020-03-12",2020,3,12,"atvi","activision",54.56,55.1,57.49,52.83,11.64,-8.04
"32",32,"2020-03-13",2020,3,13,"atvi","activision",59.04,57,59.05,53.1,9.94,8.21
"33",33,"2020-03-16",2020,3,16,"atvi","activision",52.76,53.11,57.07,52.48,10.46,-10.64
"34",34,"2020-03-17",2020,3,17,"atvi","activision",56.16,53.66,57,50.51,10.8,6.44
"35",35,"2020-03-18",2020,3,18,"atvi","activision",55.59,52.95,58.21,52.08,14.55,-1.01
"36",36,"2020-03-19",2020,3,19,"atvi","activision",54.13,55.6,58.09,53.81,10.15,-2.63
"37",37,"2020-03-20",2020,3,20,"atvi","activision",52.05,55.25,55.6,51.38,12.92,-3.84
"38",38,"2020-03-23",2020,3,23,"atvi","activision",56.47,52.81,57.66,52.33,19.6,8.49
"39",39,"2020-03-24",2020,3,24,"atvi","activision",54.43,58.73,61.23,53.84,14.89,-3.61
"40",40,"2020-03-25",2020,3,25,"atvi","activision",52.87,54.53,55.65,52.59,11.19,-2.87
"41",41,"2020-03-26",2020,3,26,"atvi","activision",57.72,53.47,57.77,53.47,9.99,9.17
"42",42,"2020-03-27",2020,3,27,"atvi","activision",56.96,56.5,58.62,55.78,8.51,-1.32
"43",43,"2020-03-30",2020,3,30,"atvi","activision",58.47,58.34,59.75,57.51,9.31,2.65
"44",44,"2020-03-31",2020,3,31,"atvi","activision",59.48,58.04,60.1,57.83,10.13,1.73
"45",45,"2020-04-01",2020,4,1,"atvi","activision",57.5,58,59.61,57.06,7.32,-3.33
"46",46,"2020-04-02",2020,4,2,"atvi","activision",60.78,58.27,61.09,58.01,8.03,5.7
"47",47,"2020-04-03",2020,4,3,"atvi","activision",59.98,61.26,61.72,58.77,7.15,-1.32
"48",48,"2020-04-06",2020,4,6,"atvi","activision",61.6,61.13,62.4,60.1,10.08,2.7
"49",49,"2020-04-07",2020,4,7,"atvi","activision",59.87,62.53,62.55,58.12,14.93,-2.81
"50",50,"2020-04-08",2020,4,8,"atvi","activision",61.07,60.36,61.49,59.91,7.42,2
"51",51,"2020-04-09",2020,4,9,"atvi","activision",60.46,61.28,61.8,59.55,8.4,-1
"52",52,"2020-04-13",2020,4,13,"atvi","activision",62.75,60.32,63,60.02,8.05,3.79
"53",53,"2020-04-14",2020,4,14,"atvi","activision",63.28,63.98,64,62.72,7.16,0.84
"54",54,"2020-04-15",2020,4,15,"atvi","activision",65.71,62.63,66.06,62.25,9.41,3.84
"55",55,"2020-04-16",2020,4,16,"atvi","activision",68.05,66.45,68.32,65.55,11.28,3.56
"56",56,"2020-04-17",2020,4,17,"atvi","activision",66.88,66.5,67,64.89,10.94,-1.72
"57",57,"2020-04-20",2020,4,20,"atvi","activision",66.5,66.62,67.15,65.96,5.11,-0.57
"58",58,"2020-04-21",2020,4,21,"atvi","activision",65.72,66.24,67.04,64.97,7.78,-1.17
"59",59,"2020-04-22",2020,4,22,"atvi","activision",66.98,66.7,67.12,64.73,6.69,1.92
"60",60,"2020-04-23",2020,4,23,"atvi","activision",65.88,66.98,67.58,65.82,5.9,-1.64
"61",61,"2020-04-24",2020,4,24,"atvi","activision",66.65,66.07,66.88,65.8,7.32,1.17
"62",62,"2020-04-27",2020,4,27,"atvi","activision",67.06,67.4,67.77,66.51,6.14,0.62
"63",63,"2020-04-28",2020,4,28,"atvi","activision",63.86,67,67.33,63.72,7.91,-4.77
"64",64,"2020-04-29",2020,4,29,"atvi","activision",64.79,64.15,65.2,62.34,8.57,1.46
"65",65,"2020-04-30",2020,4,30,"atvi","activision",63.73,64.82,65.46,63.41,9.9,-1.64
"66",66,"2020-05-01",2020,5,1,"atvi","activision",64.72,63.14,64.93,62.85,5.1,1.55
"67",67,"2020-05-04",2020,5,4,"atvi","activision",66.7,65.33,66.89,65.23,7.78,3.06
"68",68,"2020-05-05",2020,5,5,"atvi","activision",68.53,67.67,69.63,66.97,15.46,2.74
"69",69,"2020-05-06",2020,5,6,"atvi","activision",72.87,74,74.79,71.03,21.71,6.33
"70",70,"2020-05-07",2020,5,7,"atvi","activision",73.1,72.31,73.64,71.12,8.65,0.32
"71",71,"2020-05-08",2020,5,8,"atvi","activision",73.14,73.18,74,72.51,6.09,0.05
"72",72,"2020-05-11",2020,5,11,"atvi","activision",75.46,73.06,75.97,72.6,9.29,3.17
"73",73,"2020-05-12",2020,5,12,"atvi","activision",72.25,75.26,75.49,71.95,8.92,-4.25
"74",74,"2020-05-13",2020,5,13,"atvi","activision",73.67,72.44,75,72,8.81,1.97
"75",75,"2020-05-14",2020,5,14,"atvi","activision",72.96,73.58,73.85,71.63,6.75,-0.96
"76",76,"2020-05-15",2020,5,15,"atvi","activision",73.92,72.62,73.97,72.3,5.85,1.32
"77",77,"2020-05-18",2020,5,18,"atvi","activision",72.88,73.79,74.66,72.47,8.5,-1.41
"78",78,"2020-05-19",2020,5,19,"atvi","activision",73.03,72.72,74.44,72.72,5.51,0.21
"79",79,"2020-05-20",2020,5,20,"atvi","activision",73.78,73.49,74.52,73.35,6.23,1.03
"80",80,"2020-05-21",2020,5,21,"atvi","activision",72.47,73.94,74.48,72.44,9.52,-1.78
"81",81,"2020-05-22",2020,5,22,"atvi","activision",73.08,73.03,73.15,72.24,5.16,0.84
"82",82,"2020-05-26",2020,5,26,"atvi","activision",70,73.13,73.16,69.77,11.63,-4.21
"83",83,"2020-05-27",2020,5,27,"atvi","activision",70.15,69.6,70.28,66.6,13.22,0.21
"84",84,"2020-05-28",2020,5,28,"atvi","activision",70.22,69.97,71.72,69.73,7.9,0.1
"85",85,"2020-05-29",2020,5,29,"atvi","activision",71.98,70.66,72.21,69.82,11.44,2.51
"86",86,"2020-06-01",2020,6,1,"atvi","activision",72.99,72.01,73.58,71.75,4.93,1.4
"87",87,"2020-06-02",2020,6,2,"atvi","activision",72.98,72.78,72.99,71.1,6.52,-0.01
"88",88,"2020-06-03",2020,6,3,"atvi","activision",69.92,72.39,72.52,69.7,10.52,-4.19
"89",89,"2020-06-04",2020,6,4,"atvi","activision",69.81,69.62,71.01,69.1,7.63,-0.16
"90",90,"2020-06-05",2020,6,5,"atvi","activision",69.43,67.99,69.59,67.4,8.62,-0.54
"91",91,"2020-06-08",2020,6,8,"atvi","activision",70.73,68.64,70.76,68.34,6.94,1.87
"92",92,"2020-06-09",2020,6,9,"atvi","activision",72,71.28,72.16,70.23,6.25,1.8
"93",93,"2020-06-10",2020,6,10,"atvi","activision",73.82,72.38,74.24,72.38,9.11,2.53
"94",94,"2020-06-11",2020,6,11,"atvi","activision",71.28,73.14,74.33,71.03,7.81,-3.44
"95",95,"2020-06-12",2020,6,12,"atvi","activision",71.68,71.5,73.21,70.25,5.92,0.56
"96",96,"2020-06-15",2020,6,15,"atvi","activision",73.19,71.69,73.53,71.35,6.49,2.11
"97",97,"2020-06-16",2020,6,16,"atvi","activision",73,74.03,74.13,72.27,6.36,-0.26
"98",98,"2020-06-17",2020,6,17,"atvi","activision",75.53,73.56,76.46,73.33,12.76,3.47
"99",99,"2020-06-18",2020,6,18,"atvi","activision",76.01,75.97,76.34,74.91,7.27,0.64
"100",100,"2020-06-19",2020,6,19,"atvi","activision",76.58,76.18,76.75,75.09,10.39,0.75
"101",101,"2020-06-22",2020,6,22,"atvi","activision",76.12,76.62,77.17,75.88,5.24,-0.6
"102",102,"2020-06-23",2020,6,23,"atvi","activision",76.45,76.64,77.62,76.26,4.47,0.43
"103",103,"2020-06-24",2020,6,24,"atvi","activision",75.58,76.45,77.1,74.45,7.74,-1.14
"104",104,"2020-06-25",2020,6,25,"atvi","activision",76.21,76.37,76.75,74.48,6.16,0.83
"105",105,"2020-06-26",2020,6,26,"atvi","activision",76.4,76.54,76.84,74.65,11.57,0.25
"106",106,"2020-06-29",2020,6,29,"atvi","activision",75.5,75.97,76.51,74.96,5.1,-1.18
"107",107,"2020-06-30",2020,6,30,"atvi","activision",75.9,75.68,76.43,75.42,6.54,0.53
