"","id","Date","year","month","day","ticker","company","Price","Open","High","Low","volume","percent_change","hero","mythic_skin","season","price_usd","price_prisms"
"1",677,"2022-10-04",2022,10,4,"atvi","activision",75,74.71,75.38,74.56,9.47,0.86,"Genji","Cyber Demon",1,40,50
"2",721,"2022-12-06",2022,12,6,"atvi","activision",76.11,76.59,76.93,76.1,8.01,-0.29,"Junker Queen","Zeus",2,40,50
"3",763,"2023-02-07",2023,2,7,"atvi","activision",75.6,74.65,75.97,74.14,14.87,5.62,"Kiriko","Amaterasu",3,40,50
"4",806,"2023-04-11",2023,4,11,"atvi","activision",85.09,85.26,85.68,84.99,8.33,-0.46,"Sigma","Galactic Emperor",4,40,50
"5",850,"2023-06-13",2023,6,13,"atvi","activision",80.7,80.2,81.45,79.87,8.28,1.17,"Tracer","Adventurer",5,40,50
"6",867,"2023-07-10",2023,7,10,"atvi","activision",82.7,82.76,83.23,82.62,7.13,0.33,"Ana","A-7000 Wargod",6,40,50
"7",932,"2023-10-10",2023,10,10,"atvi","activision",94.34,94.38,94.49,94.18,5.14,0,"Hanzo","Onryo",7,40,50
"8",971,"2023-12-05",2023,12,5,"msft","microsoft",372.52,366.45,373.08,365.62,23.07,0.92,"Orisa","Grand Beast",8,40,50
"9",1018,"2024-02-13",2024,2,13,"msft","microsoft",406.32,404.94,410.07,403.39,27.82,-2.15,"Moira","Ancient Caller",9,40,50
"10",1061,"2024-04-16",2024,4,16,"msft","microsoft",414.58,414.57,418.4,413.73,16.77,0.23,"Mercy","Vengeance",10,40,50
"11",1106,"2024-06-20",2024,6,20,"msft","microsoft",445.7,446.3,446.53,441.27,19.88,-0.14,"Ashe","Calamity Empress",11,40,50
"12",1187,"2024-10-15",2024,10,15,"msft","microsoft",418.74,422.18,422.48,415.26,18.9,-0.1,"Widowmaker","Spellbinder",13,40,50
